,Manufacturer,Model Name, Storage,Operating System,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation
0,1,236,128,3,1.37,11912523,0,0,0,0,1,0
1,1,237,128,3,1.34,7993374,0,0,0,0,1,0
2,7,38,256,1,1.86,5112900,0,0,0,1,0,0
3,1,236,512,3,1.83,22563005,0,0,0,0,1,0
4,1,236,256,3,1.37,16037611,0,0,0,0,1,0
5,0,45,500,2,2.1,3556800,0,0,0,1,0,0
6,1,236,256,3,2.04,19028613,0,0,0,0,1,0
7,1,237,256,3,1.34,10303160,0,0,0,0,1,0
8,2,478,512,2,1.3,13293540,0,0,0,0,1,0
9,0,334,256,2,1.6,6846840,0,0,0,0,1,0
10,7,38,500,1,1.86,3502558,0,0,0,1,0,0
11,7,38,500,1,1.86,3067651,0,0,0,1,0,0
12,1,236,256,3,1.83,21696213,0,0,0,0,1,0
13,4,186,256,2,2.2,4436218,0,0,0,1,0,0
14,1,234,256,3,0.92,11225260,0,0,0,0,1,0
15,1,236,256,3,1.37,13502946,0,0,0,0,1,0
16,4,186,256,2,2.2,6624540,0,0,0,1,0,0
17,1,236,512,3,1.83,25413336,0,0,0,0,1,0
18,10,159,1,1,2.2,4437108,0,0,0,1,0,0
19,4,453,128,2,1.22,8705268,0,0,0,0,1,0
20,2,426,32,2,0.98,1706374,0,0,1,0,0,0
21,10,228,1281,2,2.5,8883108,0,1,0,0,0,0
22,7,39,500,1,1.86,2294136,0,0,0,1,0,0
23,4,191,256,2,1.62,7282548,1,0,0,0,0,0
24,7,6,256,2,1.91,5859828,0,0,0,0,1,0
25,4,186,1,2,2.3,3722546,0,0,0,1,0,0
26,1,235,128,3,1.35,9772308,0,0,0,0,1,0
27,4,193,256,2,2.2,7113600,0,0,0,1,0,0
28,4,222,256256,2,1.88,11541816,0,0,0,0,1,0
29,7,287,1,2,2.5,7967232,0,0,0,1,0,0
